"Class"	"Base"	"Abstract"	"Scope"	"ScopeReason"	"Field"	"Kind"	"Sig"	"Card"
"MoGlossItem"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"MoGlossItem"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Status"	"basic"	"Boolean"	
"MoGlossItem"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Target"	"rel"	"MoGlossItem"	"atomic"
"MoGlossItem"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Type"	"basic"	"Integer"	
"MoGlossSystem"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Glosses"	"owning"	"MoGlossItem"	"col"
"MoInflAffixSlot"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Description"	"basic"	"MultiString"	
"MoInflAffixSlot"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"MoInflAffixSlot"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Optional"	"basic"	"Boolean"	
"MoInflAffixSlotApp"	"MoDerivTrace"	"false"	"trace"	"derivation-trace: reachable only from WfiAnalysis (out of scope)"	"AffixForm"	"rel"	"MoAffixForm"	"atomic"
"MoInflAffixSlotApp"	"MoDerivTrace"	"false"	"trace"	"derivation-trace: reachable only from WfiAnalysis (out of scope)"	"AffixMsa"	"rel"	"MoInflAffMsa"	"atomic"
"MoInflAffixSlotApp"	"MoDerivTrace"	"false"	"trace"	"derivation-trace: reachable only from WfiAnalysis (out of scope)"	"Slot"	"rel"	"MoInflAffixSlot"	"atomic"
"MoInflAffixTemplate"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Description"	"basic"	"MultiString"	
"MoInflAffixTemplate"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Disabled"	"basic"	"Boolean"	
"MoInflAffixTemplate"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"EncliticSlots"	"rel"	"MoInflAffixSlot"	"seq"
"MoInflAffixTemplate"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Final"	"basic"	"Boolean"	
"MoInflAffixTemplate"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"MoInflAffixTemplate"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"PrefixSlots"	"rel"	"MoInflAffixSlot"	"seq"
"MoInflAffixTemplate"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"ProcliticSlots"	"rel"	"MoInflAffixSlot"	"seq"
"MoInflAffixTemplate"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Region"	"owning"	"FsFeatStruc"	"atomic"
"MoInflAffixTemplate"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Slots"	"rel"	"MoInflAffixSlot"	"seq"
"MoInflAffixTemplate"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Stratum"	"rel"	"MoStratum"	"atomic"
"MoInflAffixTemplate"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"SuffixSlots"	"rel"	"MoInflAffixSlot"	"seq"
"MoInflAffMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"AffixCategory"	"rel"	"CmPossibility"	"atomic"
"MoInflAffMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"FromProdRestrict"	"rel"	"CmPossibility"	"col"
"MoInflAffMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"InflFeats"	"owning"	"FsFeatStruc"	"atomic"
"MoInflAffMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"PartOfSpeech"	"rel"	"PartOfSpeech"	"atomic"
"MoInflAffMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Slots"	"rel"	"MoInflAffixSlot"	"col"
"MoInflClass"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Abbreviation"	"basic"	"MultiUnicode"	
"MoInflClass"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Description"	"basic"	"MultiString"	
"MoInflClass"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"MoInflClass"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"ReferenceForms"	"owning"	"FsFeatStruc"	"col"
"MoInflClass"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"RulesOfReferral"	"owning"	"MoReferralRule"	"seq"
"MoInflClass"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"StemNames"	"owning"	"MoStemName"	"col"
"MoInflClass"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Subclasses"	"owning"	"MoInflClass"	"col"
"MoInflTemplateApp"	"MoDerivTrace"	"false"	"trace"	"derivation-trace: reachable only from WfiAnalysis (out of scope)"	"SlotApps"	"owning"	"MoInflAffixSlotApp"	"seq"
"MoInflTemplateApp"	"MoDerivTrace"	"false"	"trace"	"derivation-trace: reachable only from WfiAnalysis (out of scope)"	"Template"	"rel"	"MoInflAffixTemplate"	"atomic"
"MoInsertNC"	"MoRuleMapping"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Content"	"rel"	"PhNaturalClass"	"atomic"
"MoInsertPhones"	"MoRuleMapping"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Content"	"rel"	"PhTerminalUnit"	"seq"
"MoModifyFromInput"	"MoRuleMapping"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Content"	"rel"	"PhContextOrVar"	"atomic"
"MoModifyFromInput"	"MoRuleMapping"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Modification"	"rel"	"PhNCFeatures"	"atomic"
"MoMorphAdhocProhib"	"MoAdhocProhib"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"FirstMorpheme"	"rel"	"MoMorphSynAnalysis"	"atomic"
"MoMorphAdhocProhib"	"MoAdhocProhib"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Morphemes"	"rel"	"MoMorphSynAnalysis"	"seq"
"MoMorphAdhocProhib"	"MoAdhocProhib"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"RestOfMorphs"	"rel"	"MoMorphSynAnalysis"	"seq"
"MoMorphData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"AdhocCoProhibitions"	"owning"	"MoAdhocProhib"	"col"
"MoMorphData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"AnalyzingAgents"	"rel"	"CmAgent"	"col"
"MoMorphData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"CompoundRules"	"owning"	"MoCompoundRule"	"seq"
"MoMorphData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"GlossSystem"	"owning"	"MoGlossSystem"	"atomic"
"MoMorphData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"ParserParameters"	"basic"	"Unicode"	
"MoMorphData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"ProdRestrict"	"owning"	"CmPossibilityList"	"atomic"
"MoMorphData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Strata"	"owning"	"MoStratum"	"seq"
"MoMorphData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"TestSets"	"owning"	"WfiWordSet"	"col"
"MoMorphSynAnalysis"	"CmObject"	"true"	"in"	"domain-reachable from lexical/grammar roots"	"Components"	"rel"	"MoMorphSynAnalysis"	"seq"
"MoMorphSynAnalysis"	"CmObject"	"true"	"in"	"domain-reachable from lexical/grammar roots"	"GlossBundle"	"rel"	"MoGlossItem"	"seq"
"MoMorphSynAnalysis"	"CmObject"	"true"	"in"	"domain-reachable from lexical/grammar roots"	"GlossString"	"basic"	"Unicode"	
"MoMorphSynAnalysis"	"CmObject"	"true"	"in"	"domain-reachable from lexical/grammar roots"	"LiftResidue"	"basic"	"Unicode"	
"MoMorphType"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Postfix"	"basic"	"Unicode"	
"MoMorphType"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Prefix"	"basic"	"Unicode"	
"MoMorphType"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"SecondaryOrder"	"basic"	"Integer"	
"MoPhonolRuleApp"	"MoDerivTrace"	"false"	"trace"	"derivation-trace: reachable only from WfiAnalysis (out of scope)"	"Rule"	"rel"	"CmObject"	"atomic"
"MoPhonolRuleApp"	"MoDerivTrace"	"false"	"trace"	"derivation-trace: reachable only from WfiAnalysis (out of scope)"	"VacuousApp"	"basic"	"Boolean"	
"MoReferralRule"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Description"	"basic"	"MultiString"	
"MoReferralRule"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Input"	"owning"	"FsFeatStruc"	"atomic"
"MoReferralRule"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"MoReferralRule"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Output"	"owning"	"FsFeatStruc"	"atomic"
"MoStemAllomorph"	"MoForm"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"PhoneEnv"	"rel"	"PhEnvironment"	"col"
"MoStemAllomorph"	"MoForm"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"StemName"	"rel"	"MoStemName"	"atomic"
"MoStemMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"FromPartsOfSpeech"	"rel"	"PartOfSpeech"	"col"
"MoStemMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"InflectionClass"	"rel"	"MoInflClass"	"atomic"
"MoStemMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"MsFeatures"	"owning"	"FsFeatStruc"	"atomic"
"MoStemMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"PartOfSpeech"	"rel"	"PartOfSpeech"	"atomic"
"MoStemMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"ProdRestrict"	"rel"	"CmPossibility"	"col"
"MoStemMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Slots"	"rel"	"MoInflAffixSlot"	"col"
"MoStemMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Stratum"	"rel"	"MoStratum"	"atomic"
"MoStemName"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Abbreviation"	"basic"	"MultiUnicode"	
"MoStemName"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"DefaultAffix"	"rel"	"MoInflAffMsa"	"atomic"
"MoStemName"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"DefaultStem"	"rel"	"MoStemName"	"atomic"
"MoStemName"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Description"	"basic"	"MultiString"	
"MoStemName"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"MoStemName"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Regions"	"owning"	"FsFeatStruc"	"col"
"MoStratum"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Abbreviation"	"basic"	"MultiUnicode"	
"MoStratum"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Description"	"basic"	"MultiString"	
"MoStratum"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"MoStratum"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Phonemes"	"rel"	"PhPhonemeSet"	"atomic"
"MoStratumApp"	"MoDerivTrace"	"false"	"trace"	"derivation-trace: reachable only from WfiAnalysis (out of scope)"	"CompoundRuleApps"	"owning"	"MoCompoundRuleApp"	"seq"
"MoStratumApp"	"MoDerivTrace"	"false"	"trace"	"derivation-trace: reachable only from WfiAnalysis (out of scope)"	"DerivAffApp"	"owning"	"MoDerivAffApp"	"seq"
"MoStratumApp"	"MoDerivTrace"	"false"	"trace"	"derivation-trace: reachable only from WfiAnalysis (out of scope)"	"PRuleApps"	"owning"	"MoPhonolRuleApp"	"seq"
"MoStratumApp"	"MoDerivTrace"	"false"	"trace"	"derivation-trace: reachable only from WfiAnalysis (out of scope)"	"Stratum"	"rel"	"MoStratum"	"atomic"
"MoStratumApp"	"MoDerivTrace"	"false"	"trace"	"derivation-trace: reachable only from WfiAnalysis (out of scope)"	"TemplateApp"	"owning"	"MoInflTemplateApp"	"atomic"
"MoUnclassifiedAffixMsa"	"MoMorphSynAnalysis"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"PartOfSpeech"	"rel"	"PartOfSpeech"	"atomic"
"Note"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Content"	"basic"	"MultiString"	
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"AffixSlots"	"owning"	"MoInflAffixSlot"	"col"
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"AffixTemplates"	"owning"	"MoInflAffixTemplate"	"seq"
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"BearableFeatures"	"rel"	"FsFeatDefn"	"col"
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"CatalogSourceId"	"basic"	"Unicode"	
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"DefaultFeatures"	"owning"	"FsFeatStruc"	"atomic"
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"DefaultInflectionClass"	"rel"	"MoInflClass"	"atomic"
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"EmptyParadigmCells"	"owning"	"FsFeatStruc"	"col"
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"InflectableFeats"	"rel"	"FsFeatDefn"	"col"
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"InflectionClasses"	"owning"	"MoInflClass"	"col"
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"InherFeatVal"	"owning"	"FsFeatStruc"	"atomic"
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"ReferenceForms"	"owning"	"FsFeatStruc"	"col"
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"RulesOfReferral"	"owning"	"MoReferralRule"	"seq"
"PartOfSpeech"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"StemNames"	"owning"	"MoStemName"	"col"
"PhCode"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Representation"	"basic"	"MultiUnicode"	
"PhEnvironment"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"AMPLEStringSegment"	"basic"	"Unicode"	
"PhEnvironment"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Description"	"basic"	"MultiString"	
"PhEnvironment"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"LeftContext"	"rel"	"PhPhonContext"	"atomic"
"PhEnvironment"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"PhEnvironment"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"RightContext"	"rel"	"PhPhonContext"	"atomic"
"PhEnvironment"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"StringRepresentation"	"basic"	"String"	
"PhFeatureConstraint"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Feature"	"rel"	"FsFeatDefn"	"atomic"
"PhIterationContext"	"PhPhonContext"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Maximum"	"basic"	"Integer"	
"PhIterationContext"	"PhPhonContext"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Member"	"rel"	"PhPhonContext"	"atomic"
"PhIterationContext"	"PhPhonContext"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Minimum"	"basic"	"Integer"	
"PhMetathesisRule"	"PhSegmentRule"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"StrucChange"	"basic"	"String"	
"PhNaturalClass"	"CmObject"	"true"	"in"	"domain-reachable from lexical/grammar roots"	"Abbreviation"	"basic"	"MultiUnicode"	
"PhNaturalClass"	"CmObject"	"true"	"in"	"domain-reachable from lexical/grammar roots"	"Description"	"basic"	"MultiString"	
"PhNaturalClass"	"CmObject"	"true"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"PhNCFeatures"	"PhNaturalClass"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Features"	"owning"	"FsFeatStruc"	"atomic"
"PhNCSegments"	"PhNaturalClass"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Segments"	"rel"	"PhPhoneme"	"col"
"PhPhonContext"	"PhContextOrVar"	"true"	"in"	"domain-reachable from lexical/grammar roots"	"Description"	"owning"	"StText"	"atomic"
"PhPhonContext"	"PhContextOrVar"	"true"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"PhPhonData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Contexts"	"owning"	"PhContextOrVar"	"seq"
"PhPhonData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Environments"	"owning"	"PhEnvironment"	"seq"
"PhPhonData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"FeatConstraints"	"owning"	"PhFeatureConstraint"	"seq"
"PhPhonData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"NaturalClasses"	"owning"	"PhNaturalClass"	"seq"
"PhPhonData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"PhonemeSets"	"owning"	"PhPhonemeSet"	"seq"
"PhPhonData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"PhonRuleFeats"	"owning"	"CmPossibilityList"	"atomic"
"PhPhonData"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"PhonRules"	"owning"	"PhSegmentRule"	"seq"
"PhPhoneme"	"PhTerminalUnit"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"BasicIPASymbol"	"basic"	"String"	
"PhPhoneme"	"PhTerminalUnit"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Features"	"owning"	"FsFeatStruc"	"atomic"
"PhPhonemeSet"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"BoundaryMarkers"	"owning"	"PhBdryMarker"	"col"
"PhPhonemeSet"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Description"	"basic"	"MultiString"	
"PhPhonemeSet"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"PhPhonemeSet"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Phonemes"	"owning"	"PhPhoneme"	"col"
"PhPhonRuleFeat"	"CmPossibility"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Item"	"rel"	"CmObject"	"atomic"
"PhRegularRule"	"PhSegmentRule"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"RightHandSides"	"owning"	"PhSegRuleRHS"	"seq"
"PhSegmentRule"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Description"	"basic"	"MultiString"	
"PhSegmentRule"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Direction"	"basic"	"Integer"	
"PhSegmentRule"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Disabled"	"basic"	"Boolean"	
"PhSegmentRule"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"FinalStratum"	"rel"	"MoStratum"	"atomic"
"PhSegmentRule"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"InitialStratum"	"rel"	"MoStratum"	"atomic"
"PhSegmentRule"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"PhSegmentRule"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"StrucDesc"	"owning"	"PhSimpleContext"	"seq"
"PhSegRuleRHS"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"ExclRuleFeats"	"rel"	"PhPhonRuleFeat"	"col"
"PhSegRuleRHS"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"InputPOSes"	"rel"	"PartOfSpeech"	"col"
"PhSegRuleRHS"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"LeftContext"	"owning"	"PhPhonContext"	"atomic"
"PhSegRuleRHS"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"ReqRuleFeats"	"rel"	"PhPhonRuleFeat"	"col"
"PhSegRuleRHS"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"RightContext"	"owning"	"PhPhonContext"	"atomic"
"PhSegRuleRHS"	"CmObject"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"StrucChange"	"owning"	"PhSimpleContext"	"seq"
"PhSequenceContext"	"PhPhonContext"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"Members"	"rel"	"PhPhonContext"	"seq"
"PhSimpleContextBdry"	"PhSimpleContext"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"FeatureStructure"	"rel"	"PhBdryMarker"	"atomic"
"PhSimpleContextNC"	"PhSimpleContext"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"FeatureStructure"	"rel"	"PhNaturalClass"	"atomic"
"PhSimpleContextNC"	"PhSimpleContext"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"MinusConstr"	"rel"	"PhFeatureConstraint"	"seq"
"PhSimpleContextNC"	"PhSimpleContext"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"PlusConstr"	"rel"	"PhFeatureConstraint"	"seq"
"PhSimpleContextSeg"	"PhSimpleContext"	"false"	"in"	"domain-reachable from lexical/grammar roots"	"FeatureStructure"	"rel"	"PhPhoneme"	"atomic"
"PhTerminalUnit"	"CmObject"	"true"	"in"	"domain-reachable from lexical/grammar roots"	"Codes"	"owning"	"PhCode"	"seq"
"PhTerminalUnit"	"CmObject"	"true"	"in"	"domain-reachable from lexical/grammar roots"	"Description"	"basic"	"MultiString"	
"PhTerminalUnit"	"CmObject"	"true"	"in"	"domain-reachable from lexical/grammar roots"	"Name"	"basic"	"MultiUnicode"	
"PubDivision"	"CmObject"	"false"	"out"	"not-domain-reachable"	"DifferentEvenHF"	"basic"	"Boolean"	
"PubDivision"	"CmObject"	"false"	"out"	"not-domain-reachable"	"DifferentFirstHF"	"basic"	"Boolean"	
"PubDivision"	"CmObject"	"false"	"out"	"not-domain-reachable"	"HFSet"	"owning"	"PubHFSet"	"atomic"
"PubDivision"	"CmObject"	"false"	"out"	"not-domain-reachable"	"NumColumns"	"basic"	"Integer"	
"PubDivision"	"CmObject"	"false"	"out"	"not-domain-reachable"	"PageLayout"	"owning"	"PubPageLayout"	"atomic"
"PubDivision"	"CmObject"	"false"	"out"	"not-domain-reachable"	"StartAt"	"basic"	"Integer"	
"PubHeader"	"CmObject"	"false"	"out"	"not-domain-reachable"	"CenteredText"	"basic"	"String"	
"PubHeader"	"CmObject"	"false"	"out"	"not-domain-reachable"	"InsideAlignedText"	"basic"	"String"	
"PubHeader"	"CmObject"	"false"	"out"	"not-domain-reachable"	"OutsideAlignedText"	"basic"	"String"	
"PubHFSet"	"CmObject"	"false"	"out"	"not-domain-reachable"	"DefaultFooter"	"owning"	"PubHeader"	"atomic"
"PubHFSet"	"CmObject"	"false"	"out"	"not-domain-reachable"	"DefaultHeader"	"owning"	"PubHeader"	"atomic"
"PubHFSet"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Description"	"basic"	"String"	
"PubHFSet"	"CmObject"	"false"	"out"	"not-domain-reachable"	"EvenFooter"	"owning"	"PubHeader"	"atomic"
"PubHFSet"	"CmObject"	"false"	"out"	"not-domain-reachable"	"EvenHeader"	"owning"	"PubHeader"	"atomic"
"PubHFSet"	"CmObject"	"false"	"out"	"not-domain-reachable"	"FirstFooter"	"owning"	"PubHeader"	"atomic"
"PubHFSet"	"CmObject"	"false"	"out"	"not-domain-reachable"	"FirstHeader"	"owning"	"PubHeader"	"atomic"
"PubHFSet"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Name"	"basic"	"Unicode"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"BaseFontSize"	"basic"	"Integer"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"BaseLineSpacing"	"basic"	"Integer"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"BindingEdge"	"basic"	"Integer"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Description"	"basic"	"String"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Divisions"	"owning"	"PubDivision"	"seq"
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"FootnoteSepWidth"	"basic"	"Integer"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"GutterLoc"	"basic"	"Integer"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"GutterMargin"	"basic"	"Integer"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"IsLandscape"	"basic"	"Boolean"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Name"	"basic"	"Unicode"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"PageHeight"	"basic"	"Integer"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"PageWidth"	"basic"	"Integer"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"PaperHeight"	"basic"	"Integer"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"PaperWidth"	"basic"	"Integer"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"SheetLayout"	"basic"	"Integer"	
"Publication"	"CmObject"	"false"	"out"	"not-domain-reachable"	"SheetsPerSig"	"basic"	"Integer"	
"PubPageLayout"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Description"	"basic"	"String"	
"PubPageLayout"	"CmObject"	"false"	"out"	"not-domain-reachable"	"IsBuiltIn"	"basic"	"Boolean"	
"PubPageLayout"	"CmObject"	"false"	"out"	"not-domain-reachable"	"IsModified"	"basic"	"Boolean"	
"PubPageLayout"	"CmObject"	"false"	"out"	"not-domain-reachable"	"MarginBottom"	"basic"	"Integer"	
"PubPageLayout"	"CmObject"	"false"	"out"	"not-domain-reachable"	"MarginInside"	"basic"	"Integer"	
