"Class"	"Field"	"Label"	"Tooltip"	"Source"	"SourceDetail"	"Confidence"
"CmPerson"	""	"People"	""	"tool-config"	"toolConfiguration.xml tool=peopleEdit + areaConfiguration.xml ownerClass=LangProject ownerField=People"	"ambiguous"
"CmPerson"	""	"Person"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=CmPerson | strings-en.xml, group=PossibilityListItemTypeNames, ownerField=People -> CmPerson"	"ambiguous"
"CmPerson"	"AbbreviationPub"	"Abbreviation"	""	"slice"	"Notebook.fwlayout, layout class=CmPerson type=jtview name=publishRnResearcher | Notebook.fwlayout, layout class=CmPerson type=jtview name=publishRnSource | Notebook.fwlayout, layout class=CmPerson type=jtview name=publishRnParticipant"	"exact"
"CmPerson"	"Alias"	"Alias"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-AliasAllA"	"exact"
"CmPerson"	"DateOfBirth"	"Date of Birth"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-DateOfBirth"	"exact"
"CmPerson"	"DateOfDeath"	"Date of Death"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-DateOfDeath"	"exact"
"CmPerson"	"DescriptionAllA"	"Short Description"	""	"slice"	"CmPossibility.fwlayout, layout class=CmPerson type=detail name=default"	"exact"
"CmPerson"	"Discussion"	"Biographical Information"	""	"slice"	"CmPossibility.fwlayout, layout class=CmPerson type=detail name=default"	"exact"
"CmPerson"	"Education"	"Education"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-Education"	"exact"
"CmPerson"	"Gender"	"Gender"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-Gender"	"exact"
"CmPerson"	"IsResearcher"	"Is a Researcher"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-IsResearcher"	"exact"
"CmPerson"	"NameAllVA"	"Full Name"	""	"slice"	"CmPossibility.fwlayout, layout class=CmPerson type=detail name=default"	"exact"
"CmPerson"	"NamePub"	"Name"	""	"slice"	"Notebook.fwlayout, layout class=CmPerson type=jtview name=publishRnResearcher | Notebook.fwlayout, layout class=CmPerson type=jtview name=publishRnSource | Notebook.fwlayout, layout class=CmPerson type=jtview name=publishRnParticipant"	"exact"
"CmPerson"	"PlaceOfBirth"	"Place of Birth"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-PlaceOfBirth"	"exact"
"CmPerson"	"PlacesOfResidence"	"Place of Residence"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-PlacesOfResidence"	"exact"
"CmPerson"	"Positions"	"Positions"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-Positions"	"exact"
"CmPerson"	"Researchers"	"Researchers"	""	"slice"	"CmPossibility.fwlayout, layout class=CmPerson type=detail name=default"	"exact"
"CmPicture"	""	"Picture"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=CmPicture"	"class-only"
"CmPicture"	"Caption"	"Caption"	""	"slice"	"LexSense.fwlayout, layout class=CmPicture type=detail name=Normal, ref=CaptionA resolved via Parts/*.xml | LexSenseParts.xml, bin class=CmPicture, part id=CmPicture-Detail-CaptionA"	"exact"
"CmPicture"	"CaptionPub"	"Caption"	""	"slice"	"LexSense.fwlayout, layout class=CmPicture type=jtview name=publishStemCaption | LexSense.fwlayout, layout class=CmPicture type=jtview name=publishRootCaption"	"exact"
"CmPicture"	"FileName"	"File"	""	"slice"	"LexSense.fwlayout, layout class=CmPicture type=detail name=Normal"	"exact"
"CmPicture"	"Picture"	"Picture"	""	"slice"	"LexSense.fwlayout, layout class=CmPicture type=detail name=Normal"	"exact"
"CmPicture"	"PublishIn"	"Publish Picture In"	"Remove a publication from this field to exclude only this picture from that publication."	"slice"	"LexSense.fwlayout, layout class=CmPicture type=detail name=Normal, ref=PublishIn resolved via Parts/*.xml | LexSenseParts.xml, bin class=CmPicture, part id=CmPicture-Detail-PublishIn"	"exact"
"CmPicture"	"SenseNumber"	"Sense Number"	""	"slice"	"LexSense.fwlayout, layout class=CmPicture type=jtview name=publishStemCaption | LexSense.fwlayout, layout class=CmPicture type=jtview name=publishRootCaption"	"exact"
"CmPicture"	"Thumbnail"	"Thumbnail"	""	"slice"	"LexSense.fwlayout, layout class=CmPicture type=detail name=Normal"	"exact"
"CmPicture"	"ThumbnailPub"	"Thumbnail"	""	"slice"	"LexSense.fwlayout, layout class=CmPicture type=jtview name=publishStemPile | LexSense.fwlayout, layout class=CmPicture type=jtview name=publishRootPile"	"exact"
