"Class"	"Field"	"Label"	"Tooltip"	"Source"	"SourceDetail"	"Confidence"
"CmSemanticDomain"	"SubPossibilities"	"Subdomains"	""	"slice"	"CmPossibility.fwlayout, layout class=CmSemanticDomain type=detail name=default"	"exact"
"CmSemanticDomain"	"Summary"	"Subdomain"	""	"slice"	"CmPossibility.fwlayout, layout class=CmSemanticDomain type=detail name=nested"	"exact"
"CmTranslation"	""	"Translation"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=CmTranslation"	"ambiguous"
"CmTranslation"	""	"Translations"	""	"strings-en"	"strings-en.xml, group=AlternativeTitles, id=CmTranslation-Plural"	"ambiguous"
"CmTranslation"	"Translation"	"Translation"	""	"slice"	"LexSenseParts.xml, bin class=CmTranslation, part id=CmTranslation-Detail-TranslationAllA"	"exact"
"CmTranslation"	"TranslationPub"	"Translation"	""	"slice"	"LexSense.fwlayout, layout class=CmTranslation type=jtview name=publishStem | LexSense.fwlayout, layout class=CmTranslation type=jtview name=publishCd | LexSense.fwlayout, layout class=CmTranslation type=jtview name=publishStemMinor | LexSense.fwlayout, layout class=CmTranslation type=jtview name=publishRoot | LexSense.fwlayout, layout class=CmTranslation type=jtview name=publishRootMinor | +15 more"	"exact"
"CmTranslation"	"Type"	"Type"	""	"slice"	"LexSenseParts.xml, bin class=CmTranslation, part id=CmTranslation-Detail-Type"	"exact"
"CmTranslation"	"TypeConfig"	"Type"	""	"slice"	"LexSense.fwlayout, layout class=CmTranslation type=jtview name=publishStem | LexSense.fwlayout, layout class=CmTranslation type=jtview name=publishCd | LexSense.fwlayout, layout class=CmTranslation type=jtview name=publishStemMinor | LexSense.fwlayout, layout class=CmTranslation type=jtview name=publishRoot | LexSense.fwlayout, layout class=CmTranslation type=jtview name=publishRootMinor | +15 more"	"exact"
"FsClosedFeature"	""	"Feature"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=FsClosedFeature"	"class-only"
"FsClosedFeature"	"InflectionFeaturesValuesSection"	"Values"	""	"slice"	"Morphology.fwlayout, layout class=FsClosedFeature type=detail name=Edit"	"exact"
"FsClosedFeature"	"ShowInGloss"	"Display label"	""	"slice"	"Morphology.fwlayout, layout class=FsClosedFeature type=detail name=Edit"	"exact"
"FsClosedFeature"	"SpecialNote"	"Special Note"	""	"slice"	"Morphology.fwlayout, layout class=FsClosedFeature type=detail name=Edit"	"exact"
"FsClosedFeature"	"ValuesSection"	"Values"	""	"slice"	"Morphology.fwlayout, layout class=FsClosedFeature type=detail name=PhonEdit"	"exact"
"FsClosedValue"	""	"Feature"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=FsClosedValue"	"class-only"
"FsClosedValue"	"Feature"	"Feature"	""	"slice"	"MorphologyParts.xml, bin class=FsClosedValue, part id=FsClosedValue-Detail-FeatureSpecs"	"ambiguous"
"FsClosedValue"	"Feature"	"Name"	""	"slice"	"MorphologyParts.xml, bin class=FsClosedValue, part id=FsClosedValue-Detail-Feature"	"ambiguous"
"FsClosedValue"	"Summary"	"Feature"	""	"slice"	"Morphology.fwlayout, layout class=FsClosedValue type=detail name=EditFeatureSpec"	"exact"
"FsClosedValue"	"Value"	"Value"	""	"slice"	"MorphologyParts.xml, bin class=FsClosedValue, part id=FsClosedValue-Detail-Value | MorphologyParts.xml, bin class=FsClosedValue, part id=FsClosedValue-Detail-FeatureSpecs"	"exact"
"FsComplexFeature"	""	"Complex Feature"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=FsComplexFeature"	"class-only"
"FsComplexFeature"	"Message"	"Special Note"	""	"slice"	"Morphology.fwlayout, layout class=FsComplexFeature type=detail name=Edit"	"exact"
"FsComplexFeature"	"ShowInGloss"	"Display label"	""	"slice"	"Morphology.fwlayout, layout class=FsComplexFeature type=detail name=Edit"	"exact"
"FsComplexFeature"	"Type"	"Type"	""	"slice"	"Morphology.fwlayout, layout class=FsComplexFeature type=detail name=Edit, ref=Type resolved via Parts/*.xml | MorphologyParts.xml, bin class=FsComplexFeature, part id=FsComplexFeature-Detail-Type"	"exact"
"FsComplexValue"	""	"Complex Feature"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=FsComplexValue"	"class-only"
"FsComplexValue"	"Feature"	"Feature"	""	"slice"	"MorphologyParts.xml, bin class=FsComplexValue, part id=FsComplexValue-Detail-FeatureSpecs"	"ambiguous"
"FsComplexValue"	"Feature"	"Name"	""	"slice"	"MorphologyParts.xml, bin class=FsComplexValue, part id=FsComplexValue-Detail-Feature"	"ambiguous"
"FsComplexValue"	"Summary"	"Complex Feature"	""	"slice"	"Morphology.fwlayout, layout class=FsComplexValue type=detail name=EditFeatureSpec"	"exact"
"FsComplexValue"	"Value"	"Value"	""	"slice"	"MorphologyParts.xml, bin class=FsComplexValue, part id=FsComplexValue-Detail-FeatureSpecs"	"exact"
"FsFeatDefn"	""	"Inflection Features"	""	"strings-en"	"strings-en.xml, group=AlternativeTitles, id=FsFeatDefn-Plural"	"ambiguous"
"FsFeatDefn"	""	"Phonological Feature and Values"	""	"strings-en"	"strings-en.xml, group=AlternativeTitles, id=FsFeatDefn-PhonologicalValues"	"ambiguous"
"FsFeatDefn"	""	"Phonological Features"	""	"strings-en"	"strings-en.xml, group=AlternativeTitles, id=FsFeatDefn-Phonological"	"ambiguous"
"FsFeatDefn"	"Abbreviation"	"Abbreviation"	""	"slice"	"MorphologyParts.xml, bin class=FsFeatDefn, part id=FsFeatDefn-Detail-AbbreviationAllA"	"exact"
"FsFeatDefn"	"Description"	"Description"	""	"slice"	"MorphologyParts.xml, bin class=FsFeatDefn, part id=FsFeatDefn-Detail-DescriptionAllA"	"exact"
"FsFeatDefn"	"GlossAbbreviation"	"Gloss Abbreviation"	""	"slice"	"MorphologyParts.xml, bin class=FsFeatDefn, part id=FsFeatDefn-Detail-GlossAbbreviationAllA"	"exact"
"FsFeatDefn"	"Name"	"Name"	""	"slice"	"MorphologyParts.xml, bin class=FsFeatDefn, part id=FsFeatDefn-Detail-NameAllA"	"exact"
"FsFeatDefn"	"RightGlossSep"	"Right Gloss Separator"	""	"slice"	"MorphologyParts.xml, bin class=FsFeatDefn, part id=FsFeatDefn-Detail-RightGlossSepAllA"	"exact"
"FsFeatDefn"	"ShowInGloss"	"ShowInGloss"	"When displaying the values for this feature, include a label (the Feature Abbreviation) as well"	"slice"	"MorphologyParts.xml, bin class=FsFeatDefn, part id=FsFeatDefn-Detail-ShowInGloss | MorphologyParts.xml, bin class=FsFeatDefn, part id=FsSymFeatVal-Detail-ShowInGloss"	"ambiguous"
"FsFeatDefn"	"ShowInGloss"	"Use Abbreviation for value"	""	"slice"	"Morphology.fwlayout, layout class=FsFeatDefn type=detail name=Edit, ref=ShowInGloss resolved via Parts/*.xml"	"ambiguous"
"FsFeatStruc"	""	"Feature Structure"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=FsFeatStruc"	"class-only"
"FsFeatStruc"	"Blank"	"Nested Inflection Features"	""	"slice"	"Morphology.fwlayout, layout class=FsFeatStruc type=detail name=NestedInflFeats"	"exact"
"FsFeatStruc"	"FeatureSpecs"	"Features"	""	"slice"	"Morphology.fwlayout, layout class=FsFeatStruc type=detail name=FeatureSpecs | Morphology.fwlayout, layout class=FsFeatStruc type=detail name=NestedInflFeats | Morphology.fwlayout, layout class=FsFeatStruc type=detail name=EditFeatureSpecs"	"ambiguous"
"FsFeatStruc"	"FeatureSpecs"	"From Inflection Features"	""	"slice"	"Morphology.fwlayout, layout class=FsFeatStruc type=detail name=FromMsFeatures"	"ambiguous"
"FsFeatStruc"	"FeatureSpecs"	"Inflection Features"	""	"slice"	"Morphology.fwlayout, layout class=FsFeatStruc type=detail name=MsFeatures | Morphology.fwlayout, layout class=FsFeatStruc type=detail name=InflFeats"	"ambiguous"
"FsFeatStruc"	"FeatureSpecs"	"Required Features"	""	"slice"	"Morphology.fwlayout, layout class=FsFeatStruc type=detail name=MsEnvFeatures"	"ambiguous"
"FsFeatStruc"	"FeatureSpecs"	"To Inflection Features"	""	"slice"	"Morphology.fwlayout, layout class=FsFeatStruc type=detail name=ToMsFeatures"	"ambiguous"
"FsFeatStruc"	"Long"	"Features"	""	"slice"	"Morphology.fwlayout, layout class=FsFeatStruc type=jtview name=PhonFeats"	"exact"
"FsFeatStruc"	"RegionFeatureSpecs"	"Feature Set"	""	"slice"	"Morphology.fwlayout, layout class=FsFeatStruc type=detail name=EditStemNameRegion"	"exact"
"FsFeatStruc"	"Type"	"Feature Type"	""	"slice"	"MorphologyParts.xml, bin class=FsFeatStruc, part id=FsFeatStruc-Detail-Type"	"exact"
"FsFeatStrucType"	""	"Feature Type"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=FsFeatStrucType"	"ambiguous"
"FsFeatStrucType"	""	"Feature Types"	""	"strings-en"	"strings-en.xml, group=AlternativeTitles, id=FsFeatStrucType-Plural"	"ambiguous"
"FsFeatStrucType"	"Abbreviation"	"Abbreviation"	""	"slice"	"MorphologyParts.xml, bin class=FsFeatStrucType, part id=FsFeatStrucType-Detail-AbbreviationAllA"	"exact"
"FsFeatStrucType"	"Description"	"Description"	""	"slice"	"MorphologyParts.xml, bin class=FsFeatStrucType, part id=FsFeatStrucType-Detail-DescriptionAllA"	"exact"
"FsFeatStrucType"	"Features"	"Features"	""	"slice"	"Morphology.fwlayout, layout class=FsFeatStrucType type=detail name=Edit, ref=Features resolved via Parts/*.xml | MorphologyParts.xml, bin class=FsFeatStrucType, part id=FsFeatStrucType-Detail-Features"	"exact"
"FsFeatStrucType"	"Message"	"Special Note"	""	"slice"	"Morphology.fwlayout, layout class=FsFeatStrucType type=detail name=Edit"	"exact"
"FsFeatStrucType"	"Name"	"Name"	""	"slice"	"MorphologyParts.xml, bin class=FsFeatStrucType, part id=FsFeatStrucType-Detail-NameAllA"	"exact"
"FsFeatureSpecification"	"Feature"	"Feature"	""	"slice"	"MorphologyParts.xml, bin class=FsFeatureSpecification, part id=FsFeatureSpecification-Detail-Feature | MorphologyParts.xml, bin class=FsFeatureSpecification, part id=FsFeatureSpecification-Detail-FeatureSpecs"	"exact"
"FsFeatureSpecification"	"Summary"	"Feature"	""	"slice"	"Morphology.fwlayout, layout class=FsFeatureSpecification type=detail name=EditFeatureSpec"	"exact"
"FsSymFeatVal"	""	"Feature Value"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=FsSymFeatVal"	"class-only"
"FsSymFeatVal"	"Abbreviation"	"Abbreviation"	""	"slice"	"MorphologyParts.xml, bin class=FsSymFeatVal, part id=FsSymFeatVal-Detail-AbbreviationAllA"	"exact"
"FsSymFeatVal"	"Description"	"Description"	""	"slice"	"MorphologyParts.xml, bin class=FsSymFeatVal, part id=FsSymFeatVal-Detail-DescriptionAllA"	"exact"
"FsSymFeatVal"	"GlossAbbreviation"	"Gloss Abbreviation"	""	"slice"	"MorphologyParts.xml, bin class=FsSymFeatVal, part id=FsSymFeatVal-Detail-GlossAbbreviationAllA"	"exact"
"FsSymFeatVal"	"Name"	"Name"	""	"slice"	"MorphologyParts.xml, bin class=FsSymFeatVal, part id=FsSymFeatVal-Detail-NameAllA"	"ambiguous"
"FsSymFeatVal"	"Name"	"Value Name"	""	"slice"	"Morphology.fwlayout, layout class=FsSymFeatVal type=detail name=EditValue, ref=NameAllA resolved via Parts/*.xml | Morphology.fwlayout, layout class=FsSymFeatVal type=detail name=PhonEditValue, ref=NameAllA resolved via Parts/*.xml"	"ambiguous"
"FsSymFeatVal"	"RightGlossSep"	"Right Gloss Separator"	""	"slice"	"MorphologyParts.xml, bin class=FsSymFeatVal, part id=FsSymFeatVal-Detail-RightGlossSepAllA"	"exact"
"FsSymFeatVal"	"ShowInGloss"	"Use Abbreviation for value"	""	"slice"	"Morphology.fwlayout, layout class=FsSymFeatVal type=detail name=EditValue, ref=ShowInGloss resolved via Parts/*.xml"	"exact"
"LexEntry"	""	"Entries"	""	"strings-en"	"strings-en.xml, group=AlternativeTitles, id=LexEntry-Plural"	"ambiguous"
"LexEntry"	""	"Entry"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=LexEntry"	"ambiguous"
"LexEntry"	"$child"	"$label"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara | +7 more"	"exact"
"LexEntry"	"AlternateFormsConfig"	"Allomorphs"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara | +2 more"	"exact"
"LexEntry"	"AlternateFormsSection"	"Allomorphs"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=detail name=Normal"	"exact"
"LexEntry"	"AsVariantHeadwordPub"	"Variant Form"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishHeadwordForStemVariantRef | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishHeadwordForStemSenseVariantRef | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishHeadwordForCdSenseVariantRef | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishHeadwordForStemMinorVariantRef | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishHeadwordForStemMinorSenseVariantRef | +10 more"	"exact"
"LexEntry"	"Bibliography"	"Bibliography"	""	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-BibliographyAllA"	"exact"
"LexEntry"	"BibliographyPub"	"Bibliography"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara | +1 more"	"ambiguous"
"LexEntry"	"BibliographyPub"	"Bibliography (Entry)"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishBiblioCd"	"ambiguous"
"LexEntry"	"CitationForm"	"Citation Form"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=detail name=Normal, ref=CitationFormAllV resolved via Parts/*.xml"	"ambiguous"
"LexEntry"	"CitationForm"	"Lexeme"	"The Citation Form is used to override the Lexeme Form as the headword in the printed dictionary."	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-CitationFormAllV"	"ambiguous"
"LexEntry"	"CitationFormPub"	"Citation Form"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara"	"ambiguous"
"LexEntry"	"CitationFormPub"	"Citation form"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishCfCd"	"ambiguous"
"LexEntry"	"Comment"	"Note"	""	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-CommentAllA"	"exact"
"LexEntry"	"CommentPub"	"Note"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara | +2 more"	"exact"
"LexEntry"	"ComplexFormEntries"	"Complex Forms"	""	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-ComplexFormEntries"	"exact"
"LexEntry"	"ComplexFormHeadwordPub"	"Complex Form"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemComplexFormHeadword | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemSenseComplexFormHeadword | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishCdSenseComplexFormHeadword | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorComplexFormHeadword | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorSenseComplexFormHeadword | +10 more"	"exact"
"LexEntry"	"ComplexFormsNotSubentries"	"Other Referenced Complex Forms"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara"	"ambiguous"
"LexEntry"	"ComplexFormsNotSubentries"	"Referenced Complex Forms"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara"	"ambiguous"
"LexEntry"	"DateCreated"	"Date Created"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara | +3 more"	"exact"
"LexEntry"	"DateModified"	"Date Modified"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara | +3 more"	"exact"
"LexEntry"	"DialectLabels"	"Dialect Labels (Entry)"	""	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-DialectLabelsEntry"	"exact"
"LexEntry"	"EntryRefs"	"Components"	""	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-EntryRefsGhostComponents"	"ambiguous"
"LexEntry"	"EntryRefs"	"Variant of"	""	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-EntryRefsGhostVariantOf"	"ambiguous"
"LexEntry"	"EntryType"	"Entry Type"	""	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-EntryType"	"exact"
"LexEntry"	"EtymologyConfig"	"Etymology"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara | +2 more"	"exact"
"LexEntry"	"GrammaticalFunctionsSection"	"Grammatical Info. Details"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=detail name=Normal"	"exact"
"LexEntry"	"HeadWordRef"	"Referenced Headword"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemCrossRef | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorCrossRef | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootCrossRef | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorCrossRef | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorSubCrossRef | +11 more"	"exact"
"LexEntry"	"HeadWordReversal"	"Referenced Headword"	""	"slice"	"Reversal.fwlayout, layout class=LexEntry type=jtview name=publishRefMainEntryForReversal | Reversal.fwlayout, layout class=LexEntry type=jtview name=publishCrossRefForReversal"	"exact"
"LexEntry"	"HomographNumber"	"Homograph Number"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara | +1 more"	"exact"
"LexEntry"	"ImportResidue"	"Import Residue"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=detail name=Normal"	"exact"
"LexEntry"	"LexEntryReferences"	"Cross References"	""	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-CurrentLexReferences"	"exact"
"LexEntry"	"LexReferencesConfig"	"Cross References"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara | +2 more"	"exact"
"LexEntry"	"LexemeForm"	"Lexeme Form"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=detail name=Normal"	"exact"
"LexEntry"	"LiteralMeaning"	"Literal Meaning"	""	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-LiteralMeaningAllA"	"exact"
"LexEntry"	"LiteralMeaningPub"	"Literal Meaning"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara | +2 more"	"exact"
"LexEntry"	"MLHeadWordPub"	"Headword"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=CrossRefPub | LexEntry.fwlayout, layout class=LexEntry type=jtview name=SubentryUnderPub | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | +2 more"	"exact"
"LexEntry"	"MinorEntryConfig"	"Minor Entry"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorEntry | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorEntry"	"exact"
"LexEntry"	"PicturesConfig"	"Pictures"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemEntry | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootEntry"	"exact"
"LexEntry"	"PronunciationsConfig"	"Pronunciations"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara | +2 more"	"exact"
"LexEntry"	"PublicationSection"	"Publication Settings"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=detail name=Normal"	"exact"
"LexEntry"	"PublishIn"	"Publish Entry In"	"Remove a publication from this field to completely exclude this entry from that publication.  Nothing in the entry will appear, and it will not appear in references."	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-PublishIn"	"ambiguous"
"LexEntry"	"PublishIn"	"Publish Pronunciation In"	"Remove a publication from this field to exclude only this pronunciation from that publication."	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-PublishInForPronunciations"	"ambiguous"
"LexEntry"	"Restrictions"	"Restrictions"	""	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-RestrictionsAllA"	"exact"
"LexEntry"	"RestrictionsEntryPub"	"Restrictions (Entry)"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRestrictCd"	"exact"
"LexEntry"	"RootSubentriesConfig"	"Subentries"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootEntry"	"ambiguous"
"LexEntry"	"RootSubentriesConfig"	"Subsubentries"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentry"	"ambiguous"
"LexEntry"	"Self"	"Messages"	""	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-Messages"	"exact"
"LexEntry"	"SensesConfig"	"Senses"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara"	"exact"
"LexEntry"	"ShowMainEntryIn"	"Show As Headword In"	"The current entry is included as a main entry headword only in publications shown in this field; otherwise, it only appears in references."	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=detail name=Normal, ref=ShowMainEntryIn resolved via Parts/*.xml | LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-ShowMainEntryIn"	"exact"
"LexEntry"	"StemComplexFormsConfig"	"Referenced Complex Forms"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara"	"ambiguous"
"LexEntry"	"StemComplexFormsConfig"	"Referenced Complex Forms (of Entry)"	""	"slice"	"Reversal.fwlayout, layout class=LexEntry type=jtview name=publishRIELexEntry19"	"ambiguous"
"LexEntry"	"StemMainEntryConfig"	"Component References"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishComponentsCd"	"ambiguous"
"LexEntry"	"StemMainEntryConfig"	"Primary Entry References"	""	"slice"	"Reversal.fwlayout, layout class=LexEntry type=jtview name=publishRIELexEntryPrimaryEntries"	"ambiguous"
"LexEntry"	"StemMinorComponentsConfig"	"Components"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara"	"exact"
"LexEntry"	"Subentries"	"Subentries"	"Show these subentries below this entry in root-based dictionary layouts."	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-Subentries"	"exact"
"LexEntry"	"SummaryDefinition"	"Summary Definition"	""	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-SummaryDefinitionAllA"	"exact"
