"Source"	"Kind"	"Release"	"Commit"	"Artifact"	"Sha256"	"HarvestedUtc"
"FieldWorks"	"git-checkout"	"build-1448-54-gb0dc61b51"	"b0dc61b51407d90635c8ae693c7ab74504e0af6d"	"DistFiles/Helps/FieldWorks_Language_Explorer_Help.chm"	"sha256:db8628463a0e8af0626d55871493812c68329611667322ea8ba08b2409d11fd3"	"2026-08-11T05:43:40Z"
"FieldWorks"	"git-checkout"	"build-1448-54-gb0dc61b51"	"b0dc61b51407d90635c8ae693c7ab74504e0af6d"	"DistFiles/Language Explorer/Configuration/ContextHelp.xml"	"sha256:e6b68a73e1f62d0ef9f11941747d2f931d6cdf8837c452c1ed9f7beed5103810"	"2026-08-11T05:43:40Z"
"liblcm"	"nuget-package"	"11.0.0-beta0150"	""	"MasterLCModel.xml"	"sha256:51a2f1947bc8e1e3c319222b6059d3d0d372fd5afc7ee6e818eb5dcd37597adb"	"2026-08-11T05:43:40Z"
